candidate_index,sample_index,sample_id,k,ratio,large_scan,min_target_separation_deg,selected_config,baseline_combined_worst_active_rl_db,baseline_combined_total_rl_db,optimized_combined_worst_active_rl_db,optimized_combined_total_rl_db,optimized_combined_active_gate,optimized_all_tasks_significant_worst_active_rl_db,optimized_all_tasks_significant_gate,optimized_all_tasks_strict_worst_active_rl_db,optimized_all_tasks_strict_gate,target_response_error_max,nearest_bound_ratio_max,local_bound_ratio_max,constraint_pass,baseline_psll_db,optimized_psll_db,baseline_nearest_iso_db,optimized_nearest_iso_db,baseline_local_iso_db,optimized_local_iso_db,baseline_weakest_target_gain_db,optimized_weakest_target_gain_db,optimized_target_spread_db,optimized_pointing_error_deg,equal_weakest_gain_power_ratio,gate15,strict_gate20,mainlobe_gate,robust_active_RL_gate,strict_engineering_gate
36,36,tv036_s036_k4_r0.5,4,0.5,0,21.625534057617188,robust20,4.456890716968662,10.38976954375812,10.191635926152859,11.160795094499667,1,10.003516247005692,1,10.003516247005692,1,6.104577449845117e-16,0.9999939581670451,1.0000125146317191,1,-6.661358587299233,-5.523590087890625,25.266443166959967,26.624496459960938,17.37186972611717,16.64501190185547,78.0315966353246,77.85176849365234,1.2245864868164062,1.2970200492789796,1.042276183788391,1,0,1,1,0
37,37,tv037_s037_k4_r0.5,4,0.5,1,21.323556900024414,combined20,4.727526762189419,10.140731415212791,10.098408573181349,11.311771069581873,1,10.039146967541623,1,10.039146967541623,1,2.0679079607435751e-16,1.000119469744617,1.0000794247025808,1,-4.695358052534189,-4.457725524902344,23.516929282185934,26.229015350341797,15.419537362126846,15.156974792480469,76.31593345703537,76.30221557617188,3.1083450317382812,1.3035024464225893,1.003163652617617,1,0,0,1,0
38,38,tv038_s038_k4_r0.5,4,0.5,1,13.506495475769043,balanced30,1.7689813095061164,10.008682911617788,10.630020969025153,10.888552746765118,1,10.065855570155826,1,10.065855570155826,1,2.1896477852354016e-16,0.9231152242828967,1.0101341167304128,1,-1.8775868510202827,-2.2770462036132812,21.45586050203442,27.028480529785156,14.04799283993691,12.769401550292969,74.42449913062,74.30035400390625,3.8401031494140625,2.1649483832744005,1.0289979573979076,0,0,0,1,0
39,39,tv039_s039_k4_r0.6,4,0.6000000238418579,0,15.059062004089355,balanced30,-2.4825167830984816,9.809274446618115,10.420822267420867,10.984898734946684,1,10.031765821924324,1,10.031765821924324,1,3.758443231631635e-16,1.000072874697382,0.9972766742656797,1,-8.624082163189314,-8.101737976074219,25.760131057607737,25.862266540527344,17.539132280588603,17.59833526611328,79.95451403626237,79.57303619384766,1.1472702026367188,1.2551908139937036,1.0918118012859193,1,0,1,1,0
40,40,tv040_s040_k4_r0.6,4,0.6000000238418579,1,13.3247652053833,balanced30,-1.8902581854796736,9.793569751251662,10.194650756860359,11.006893365191315,1,10.05014799320949,1,10.05014799320949,1,2.1122639164899934e-17,1.0027238775027776,1.000118410838938,1,-4.1791567969171695,-2.7686309814453125,23.045345224700952,27.00052261352539,16.755065342981027,15.534614562988281,77.56120308491691,77.66383361816406,2.263671875,2.992590094908055,0.9766454849936852,1,0,0,1,0
41,41,tv041_s041_k4_r0.6,4,0.6000000238418579,1,24.257118225097656,combined20,1.5340367440232443,10.897638753725332,10.128039472718456,11.694451306446483,1,10.034330092871599,1,10.034330092871599,1,3.960351067800054e-16,1.0000849568075665,1.0000945777537733,1,-4.895189503627847,-4.3640594482421875,22.11521156507633,26.56047821044922,18.408147116274833,18.398094177246094,77.2496654672929,77.45124053955078,2.88116455078125,1.8596673313743595,0.9546462980392924,1,0,0,1,0
42,42,tv042_s042_k4_r0.7,4,0.699999988079071,1,23.54428482055664,combined20,2.80251306726707,10.326897852829628,10.08968633704501,11.424282005431435,1,10.023058810179498,1,10.023058810179498,1,3.4243054386264793e-16,0.9925045405269364,1.0000002558712222,1,-8.695882118016556,-7.7635955810546875,24.67746425867523,27.15276336669922,18.181388327941534,17.55571746826172,78.71586957414667,78.77835083007812,2.1805419921875,1.4114732699568016,0.9857161552239091,1,0,1,1,0
43,43,tv043_s043_k4_r0.7,4,0.699999988079071,1,31.78203010559082,robust20,4.177466575470671,10.309778931195527,10.193744250598096,11.297062630570432,1,10.011883163045459,1,10.011883163045459,1,2.0302402781437254e-16,1.0000004542002152,1.0000034993608422,1,-4.64079123797984,-4.195716857910156,23.520249437985342,25.275924682617188,16.215057170314196,15.729652404785156,77.49087184840099,77.49665832519531,3.6512222290039062,2.0030697772704658,0.9986685017107421,1,0,0,1,0
44,44,tv044_s044_k4_r0.7,4,0.699999988079071,1,25.887489318847656,combined20,4.68880452410876,10.987669704886436,10.165133677469544,11.265232293174456,1,10.15242956797531,1,7.009802471288472,0,5.808177030525258e-16,0.9955196097886313,1.0009530574257022,1,-4.480455715735474,-3.7693557739257812,24.753928796202388,26.123779296875,15.992276823044193,15.223312377929688,76.21323166206872,75.78254699707031,4.0577239990234375,2.00176867397502,1.1042526915531896,1,0,0,1,0
45,45,tv045_s045_k4_r0.8,4,0.800000011920929,1,17.196489334106445,balanced30,2.855169832741135,11.154235679080973,10.202411732807121,11.941920528900248,1,10.021194561407427,1,10.021194561407427,1,6.945175893348241e-16,0.9883704595327419,1.0000034711779766,1,-5.517826249284354,-5.853263854980469,23.8232654284051,26.968551635742188,16.605921276383,16.691375732421875,79.26077275895727,79.44502258300781,2.2800140380859375,1.2409181692031352,0.9584622614079519,1,0,1,1,0
