priority,role,candidate_index,sample_index,k,ratio,large_scan,min_target_separation_deg,combined_active_rl_db,task_significant_active_rl_db,psll_db,nearest_iso_db,local_iso_db,target_spread_db,pointing_error_deg,strict_engineering_gate
50.0,ratio1_control_positive,33,33,2,1.0,0,39.66925811767578,10.239922146012375,10.02827869512948,-13.898452758789062,36.88571548461914,30.72249984741211,0.0578765869140625,0.4677607853623416,1
41.902828216552734,k6_active_positive_direction_failure,63,63,6,0.800000011920929,1,24.461172103881836,10.236992634259147,10.022524870700265,-5.376800537109375,25.111366271972656,19.028282165527344,2.6730728149414062,0.9461882109125506,0
41.76114044189453,k6_active_positive_direction_failure,62,62,6,0.699999988079071,1,20.797767639160156,10.223512307653436,10.024489244791488,-3.2179641723632812,26.09333038330078,17.611404418945312,2.789520263671875,2.077243150458262,0
41.68861618041992,k6_active_positive_direction_failure,64,64,6,0.800000011920929,1,12.309439659118652,10.241592268528741,10.026480320410649,-2.096771240234375,26.708938598632812,16.88616180419922,2.4614410400390625,3.04817891770032,0
41.67022705078125,k6_active_positive_direction_failure,59,59,6,0.6000000238418579,1,18.34391975402832,10.306848090145444,10.013168167189834,-2.8503341674804688,25.71691131591797,16.7022705078125,3.8546066284179688,3.9832250370243476,0
41.666158294677736,k6_active_positive_direction_failure,67,67,6,0.8999999761581421,1,16.97910499572754,10.16693193750786,10.006116612013097,-2.22613525390625,25.2147216796875,16.661582946777344,3.449462890625,2.9917055133508477,0
41.64707565307617,k6_active_positive_direction_failure,60,60,6,0.699999988079071,1,20.716144561767578,10.272187752319494,10.009217834567977,-6.0379791259765625,25.268173217773438,16.47075653076172,2.9836959838867188,0.9352186527245646,0
41.577154541015624,k6_active_positive_direction_failure,61,61,6,0.699999988079071,1,12.227208137512207,10.134808790599742,10.021652857480422,-2.8366851806640625,26.336708068847656,15.77154541015625,2.9258499145507812,3.418172525808353,0
41.56654357910156,k6_active_positive_direction_failure,58,58,6,0.6000000238418579,1,14.846776962280273,10.56535399843488,10.014066058146229,-3.5195999145507812,25.100242614746094,15.665435791015625,3.2960128784179688,1.57567047658619,0
41.50317459106445,k6_active_positive_direction_failure,55,55,6,0.5,1,17.667423248291016,10.402774594699927,10.018652372557305,-0.6715011596679688,25.298038482666016,15.031745910644531,3.1569976806640625,4.031996014416079,0
41.45939331054687,k6_active_positive_direction_failure,66,66,6,0.8999999761581421,1,13.747703552246094,10.121715587228612,10.005391617905591,-8.433662414550781,26.49333953857422,14.59393310546875,1.1283721923828125,1.2362831554207767,0
41.332373046875,k6_active_positive_direction_failure,54,54,6,0.5,1,27.88064956665039,10.143900496865834,10.006491625187138,-3.6708221435546875,25.401206970214844,13.32373046875,3.3246383666992188,2.5594857694099975,0
41.166324615478516,k6_active_positive_direction_failure,57,57,6,0.6000000238418579,1,15.85890007019043,10.372591018978305,10.037734656217921,-5.325904846191406,25.82311248779297,11.663246154785156,3.638336181640625,1.1415191353078666,0
41.02423858642578,k6_active_positive_direction_failure,56,56,6,0.5,1,12.149877548217773,10.19140538632599,10.022737235972228,-1.63714599609375,25.09362030029297,10.242385864257812,4.7716064453125,1.8691117143513132,0
41.01819763183594,k6_active_positive_direction_failure,74,72,6,0.699999988079071,0,7.932348728179932,10.018069163699227,10.018959403931065,5.063117980957031,25.854206085205078,10.181976318359375,6.107513427734375,3.453986902855923,0
