candidate_index,sample_index,k,ratio,config,best_iteration,combined_worst_active_rl_db,combined_total_rl_db,combined_active_gate,combined_dynamic_range_db,all_tasks_significant_worst_active_rl_db,all_tasks_significant_worst_total_rl_db,all_tasks_significant_gate,all_tasks_strict_worst_active_rl_db,all_tasks_strict_gate,target_response_error_max,nearest_bound_ratio_max,local_bound_ratio_max,constraint_pass
51,51,4,1.0,balanced30,10,9.318723609213183,12.186462962415195,0,22.78936877806075,8.11201506408555,11.291407113535056,0,8.11201506408555,0,5.335938069112941e-16,1.0000024452814429,1.0000393884301984,1
51,51,4,1.0,combined20,41,7.858160406604107,12.212933613811872,0,19.761398403941605,7.632411904821042,11.296607836849873,0,7.632411904821042,0,2.5705150215142365e-16,0.9760307120358838,1.0000476604937238,1
51,51,4,1.0,robust20,82,10.122152021921341,12.22370857891903,1,19.96013447751928,9.79727194711883,11.307470574366235,0,9.79727194711883,0,6.670003489263713e-16,0.9729961807830003,0.9726946739623881,1
52,52,4,1.0,balanced30,55,10.044890914678694,13.982558184975538,1,14.751886770607385,8.713028984610396,11.229192719575614,0,8.713028984610396,0,3.364473621013129e-16,1.0000000565870406,0.9218700780757372,1
52,52,4,1.0,combined20,82,10.106241876716934,14.098982165052396,1,19.123645362618092,8.622128469957142,11.258645318651359,0,8.622128469957142,0,7.676210986295027e-16,1.000086941289515,0.8990273700963125,1
52,52,4,1.0,robust20,110,10.178721003251837,14.003529411928588,1,14.376868585990385,9.671972945875119,11.232120754493199,0,9.671972945875119,0,6.550395244516796e-16,1.0000000000000002,0.9058683601222215,1
53,53,4,1.0,balanced30,67,9.056146789859113,13.314763455852939,0,16.869166748659282,9.064915173490148,10.962694691488872,0,9.064915173490148,0,3.109372969903357e-16,0.9962031925159817,0.9270910790643071,1
53,53,4,1.0,combined20,55,8.79901530084023,13.386362244512808,0,16.725084403872238,8.838011165525904,10.990149104854352,0,8.838011165525904,0,2.6554777864494207e-16,0.9982699153094996,0.9652197184997937,1
53,53,4,1.0,robust20,70,10.017495238606532,13.305447736691123,1,16.360041290986807,8.21907170820095,10.845253853704842,0,8.21907170820095,0,3.9851600678142334e-16,0.9807464658504244,0.9939270216594798,1
54,54,6,0.5,balanced30,63,10.143900496865834,11.308076459081827,1,22.053105369225207,10.006491625187138,10.035804627128178,1,10.006491625187138,1,6.502199166803856e-16,1.010320090534609,1.0038302418635416,1
54,54,6,0.5,combined20,52,10.103328656279745,11.279645742313937,1,20.00917985086623,10.032158771579136,10.03131959145737,1,10.032158771579136,1,4.078691683422896e-16,1.0000000848612256,1.0000586423992988,1
54,54,6,0.5,robust20,92,10.111029605496835,11.343690839894265,1,19.834671911447195,10.012640930816488,10.009967749763724,1,10.012640930816488,1,3.2506037395166946e-16,1.0000000173673906,1.0000002121241853,1
55,55,6,0.5,balanced30,61,10.112492198760224,11.809181405994917,1,14.331683026163999,10.004654473388843,10.015675839822206,1,10.004654473388843,1,2.9727904602121135e-16,1.0000000182467987,1.0009511016836912,1
55,55,6,0.5,combined20,83,10.032234574879308,11.75625262616774,1,14.154459868185485,10.016419829794552,10.02038462564248,1,10.016419829794552,1,3.8600166518979575e-16,1.0019043313040028,1.00004097817504,1
55,55,6,0.5,robust20,46,10.402774594699927,11.80737122133924,1,14.632461575775924,10.018652372557305,10.01728581594747,1,10.018652372557305,1,3.187693013196414e-16,1.0000021191782664,1.0000443137222699,1
56,56,6,0.5,balanced30,55,10.087734267361801,11.100266080754613,1,22.386639036814163,10.053836941713525,10.017039144950871,1,10.053836941713525,1,4.038339087123585e-16,1.0000019515678578,1.0025177969863444,1
56,56,6,0.5,combined20,51,10.191187855293258,11.077140013073576,1,20.01327544324809,10.026741075647163,10.017442014101459,1,10.026741075647163,1,3.772577449868837e-16,0.9983988709807805,1.0340169235218428,1
56,56,6,0.5,robust20,68,10.19140538632599,11.160611381996176,1,20.006521269936542,10.022737235972228,10.0065019085873,1,10.022737235972228,1,7.472644142568736e-16,0.9990076130929895,1.0000022256952117,1
57,57,6,0.6000000238418579,balanced30,31,10.054613740323239,11.391704788937723,1,16.45856508840698,10.099796601580664,10.080355808787619,1,10.099796601580664,1,2.5519571722073803e-16,1.00009249097537,1.0000736226905387,1
57,57,6,0.6000000238418579,combined20,38,10.372591018978305,11.453695468920785,1,15.643729658521632,10.037734656217921,10.069008174373673,1,10.037734656217921,1,3.4645371764538407e-16,1.000014294556817,1.000039719346838,1
57,57,6,0.6000000238418579,robust20,38,10.201315396773287,11.382699013670411,1,16.482573975568993,10.033632625153768,10.028525836896293,1,10.033632625153768,1,3.501762635469436e-16,0.9999881968039377,1.0000000546856846,1
58,58,6,0.6000000238418579,balanced30,70,10.20952209897844,11.035768368287822,1,14.617266292899295,10.014021038276447,10.017873094872854,1,10.014021038276447,1,2.4455611665168643e-16,0.9996623980484243,1.000024521213618,1
58,58,6,0.6000000238418579,combined20,90,10.56535399843488,11.045603213495328,1,14.094627105208438,10.014066058146229,10.020452195353544,1,10.014066058146229,1,3.359626982921397e-16,0.9993619487772593,1.0000057143929404,1
58,58,6,0.6000000238418579,robust20,33,10.184137513854196,11.06568464655501,1,14.013771250000842,10.019807547421674,10.0462621349727,1,10.019807547421674,1,3.7521078980445794e-16,1.0000002512195767,1.0000081174702278,1
59,59,6,0.6000000238418579,balanced30,55,10.276685673009458,11.060649759134705,1,20.252261918175208,10.017648570629273,10.040270517616609,1,10.017648570629273,1,3.4628832436483203e-16,1.0158126462427997,1.0104680424891432,1
59,59,6,0.6000000238418579,combined20,65,10.197999919962912,11.007565546844798,1,19.078465589708234,10.021728357496391,10.020213700347762,1,10.021728357496391,1,3.763093860423084e-16,1.0020299511297748,1.0000005225281465,1
59,59,6,0.6000000238418579,robust20,107,10.306848090145444,11.05160905942248,1,19.41014940456426,10.013168167189834,10.017890775000375,1,10.013168167189834,1,4.646582848812018e-16,1.013810893103361,1.0005491470077572,1
