k,ratio,large_scan,candidate_count,combined_strict_mask_worst_min_db,combined_strict_mask_worst_mean_db,combined_strict_mask_worst_max_db,combined_strict_mask_gate_rate,combined_rel40db_worst_min_db,combined_rel40db_worst_mean_db,combined_rel40db_worst_max_db,combined_rel40db_gate_rate,combined_rel30db_worst_min_db,combined_rel30db_worst_mean_db,combined_rel30db_worst_max_db,combined_rel30db_gate_rate,combined_rel20db_worst_min_db,combined_rel20db_worst_mean_db,combined_rel20db_worst_max_db,combined_rel20db_gate_rate
4,0.5,0,1,4.456891044871202,4.456891044871202,4.456891044871202,0.0,4.456891044871202,4.456891044871202,4.456891044871202,0.0,4.456891044871202,4.456891044871202,4.456891044871202,0.0,4.456891044871202,4.456891044871202,4.456891044871202,0.0
4,0.5,1,2,1.7689799739590208,3.2482533433872156,4.72752671281541,0.0,1.7689799739590208,3.2482533433872156,4.72752671281541,0.0,1.7689799739590208,3.2482533433872156,4.72752671281541,0.0,3.517356366595425,4.1224415397054175,4.72752671281541,0.0
4,0.6,0,1,-2.4825174576831253,-2.4825174576831253,-2.4825174576831253,0.0,-2.4825174576831253,-2.4825174576831253,-2.4825174576831253,0.0,-2.4825174576831253,-2.4825174576831253,-2.4825174576831253,0.0,2.9361687569161505,2.9361687569161505,2.9361687569161505,0.0
4,0.6,1,2,-1.8902577872707615,-0.17811053370213148,1.5340367198664986,0.0,-1.8902577872707615,-0.17811053370213148,1.5340367198664986,0.0,-1.8902577872707615,-0.17811053370213148,1.5340367198664986,0.0,-1.8902577872707615,-0.17811053370213148,1.5340367198664986,0.0
4,0.7,1,3,2.8025134074224916,3.889594676188491,4.688804780398753,0.0,2.8025134074224916,3.889594676188491,4.688804780398753,0.0,2.8025134074224916,3.889594676188491,4.688804780398753,0.0,2.8025134074224916,3.889594676188491,4.688804780398753,0.0
4,0.8,1,3,2.8551695917797444,3.9797735545390522,5.1873975796085325,0.0,2.8551695917797444,3.9797735545390522,5.1873975796085325,0.0,2.8551695917797444,3.9797735545390522,5.1873975796085325,0.0,2.8551695917797444,3.9797735545390522,5.1873975796085325,0.0
4,0.9,0,1,5.377949849049393,5.377949849049393,5.377949849049393,0.0,5.377949849049393,5.377949849049393,5.377949849049393,0.0,5.377949849049393,5.377949849049393,5.377949849049393,0.0,5.377949849049393,5.377949849049393,5.377949849049393,0.0
4,0.9,1,2,2.174700233511794,2.855651664905132,3.536603096298469,0.0,2.174700233511794,2.855651664905132,3.536603096298469,0.0,2.174700233511794,2.855651664905132,3.536603096298469,0.0,2.174700233511794,2.855651664905132,3.536603096298469,0.0
4,1.0,0,1,3.874063710723359,3.874063710723359,3.874063710723359,0.0,3.874063710723359,3.874063710723359,3.874063710723359,0.0,3.874063710723359,3.874063710723359,3.874063710723359,0.0,6.1517503129664775,6.1517503129664775,6.1517503129664775,0.0
4,1.0,1,2,1.1069589516986265,1.9900547102202784,2.8731504687419305,0.0,1.1069589516986265,1.9900547102202784,2.8731504687419305,0.0,1.1069589516986265,1.9900547102202784,2.8731504687419305,0.0,1.4724169117304076,2.172783690236169,2.8731504687419305,0.0
4,all,all,18,-2.4825174576831253,2.8147883449313587,5.377949849049393,0.0,-2.4825174576831253,2.8147883449313587,5.377949849049393,0.0,-2.4825174576831253,2.8147883449313587,5.377949849049393,0.0,-1.8902577872707615,3.3597998543486125,6.1517503129664775,0.0
6,0.5,0,2,-5.587726870508519,-3.1544711139859483,-0.721215357463378,0.0,-5.587726870508519,-3.1544711139859483,-0.721215357463378,0.0,-5.587726870508519,-3.1544711139859483,-0.721215357463378,0.0,-0.721215357463378,1.2898080605615183,3.3008314785864146,0.0
6,0.5,1,5,-12.349157666973777,-0.7721754387004331,3.897662056625139,0.0,-12.349157666973777,-0.7721754387004331,3.897662056625139,0.0,-12.349157666973777,-0.7721754387004331,3.897662056625139,0.0,-4.715072973828958,0.7546414999285307,3.897662056625139,0.0
