candidate_index,sample_index,scene_id,target_hash,boundary_type,boundary_side,variant_kind,k,active_ratio,pattern15_admit,strict_admit,fullwave_complete,prob_gate15,actual_gate15,prob_gate20,actual_gate20,prob_mainlobe_gate,actual_mainlobe_gate,prob_strict_engineering_gate,actual_strict_engineering_gate,pred_psll_db,actual_psll_db,error_psll_db,pred_nearest_iso_db,actual_nearest_iso_db,error_nearest_iso_db,pred_local_iso_db,actual_local_iso_db,error_local_iso_db,pred_mainlobe_gain_db,actual_mainlobe_gain_db,error_mainlobe_gain_db,pred_target_spread_db,actual_target_spread_db,error_target_spread_db,actual_active_rl_gate,actual_worst_active_rl_db,actual_worst_total_rl_db,frozen_threshold_label_match
20,200006,gate15_psll_200006_9fbef23d325f1582,9fbef23d325f1582,psll,outside,gate15_psll_outside,6,0.5234375,0,0,1,0.5533708137295603,0,0.49503846959924547,0,0.9828971204242527,1,0.0007224483120213576,0,-1.0233139991760254,0.489349365234375,-1.5126633644104004,25.107088088989258,25.069564819335938,0.03752326965332031,21.640562057495117,21.715045928955078,-0.07448387145996094,77.14505767822266,77.04423522949219,0.10082244873046875,-0.03719048202037811,0.12038421630859375,-0.15757469832897186,0,-3.8805001046092946,9.937927947702182,1
21,200007,gate15_psll_200007_668431c0e2d66846,668431c0e2d66846,psll,control,nominal_control,6,0.72265625,1,1,1,0.9886842940351215,1,0.9617234985496204,1,0.9930275928810214,1,0.9965028185909183,1,-4.903683662414551,-4.890739440917969,-0.012944221496582031,28.39109230041504,28.31396484375,0.07712745666503906,22.29107093811035,22.33361053466797,-0.04253959655761719,78.01404571533203,78.0057144165039,0.008331298828125,1.5392037630081177,1.538604736328125,0.0005990266799926758,1,10.052693461429074,10.650898683893825,1
22,200007,gate15_psll_200007_668431c0e2d66846,668431c0e2d66846,psll,inside,gate15_psll_inside,6,0.72265625,1,0,1,0.5562326540668703,1,0.5560336626618434,1,0.9905156576830889,1,0.1701398663914401,0,-0.757634162902832,-0.5058441162109375,-0.25179004669189453,28.612159729003906,28.313945770263672,0.2982139587402344,21.71355438232422,23.022720336914062,-1.3091659545898438,77.7373046875,77.69983673095703,0.03746795654296875,1.5191985368728638,1.5733718872070312,-0.05417335033416748,0,3.785888395913844,10.795954132628687,1
23,200007,gate15_psll_200007_668431c0e2d66846,668431c0e2d66846,psll,outside,gate15_psll_outside,6,0.72265625,0,0,1,0.5554687493490469,0,0.5388317745765483,0,0.9886163154785271,1,0.04159886846830247,0,-0.09259605407714844,0.3209228515625,-0.41351890563964844,28.565746307373047,28.31395721435547,0.2517890930175781,21.555696487426758,23.016204833984375,-1.4605083465576172,77.69444274902344,77.62467956542969,0.06976318359375,1.5153963565826416,1.5815200805664062,-0.06612372398376465,0,3.262964877107548,10.798870420516431,1
24,200008,gate15_nearest_200008_d62d6df92329a353,d62d6df92329a353,nearest,control,nominal_control,4,0.4140625,1,1,1,0.9885062550022214,1,0.9579623071490782,1,0.9931249437643072,1,0.9957904347973333,1,-5.067787170410156,-4.992317199707031,-0.075469970703125,28.012508392333984,27.975547790527344,0.036960601806640625,23.555139541625977,23.417823791503906,0.1373157501220703,78.64006805419922,78.63431549072266,0.0057525634765625,0.05413621664047241,0.0535888671875,0.0005473494529724121,1,10.01040859724185,10.005898034196983,1
25,200008,gate15_nearest_200008_d62d6df92329a353,d62d6df92329a353,nearest,inside,gate15_nearest_inside,4,0.4140625,0,0,1,0.5528524293135704,1,0.4940649775786329,1,0.944715005043282,1,0.0003285983609911994,0,-5.050541877746582,-5.000762939453125,-0.04977893829345703,24.19472312927246,25.303428649902344,-1.1087055206298828,21.444581985473633,22.688720703125,-1.2441387176513672,78.43173217773438,78.44781494140625,-0.016082763671875,0.6797187924385071,0.7546005249023438,-0.07488173246383667,0,8.777193297168894,10.005898034196983,1
26,200008,gate15_nearest_200008_d62d6df92329a353,d62d6df92329a353,nearest,outside,gate15_nearest_outside,4,0.4140625,0,0,1,0.5527088069000279,0,0.4914284140304296,0,0.9423829448958286,1,0.00023706771540214243,0,-5.035933971405029,-5.001304626464844,-0.03462934494018555,24.158479690551758,24.475723266601562,-0.3172435760498047,21.331787109375,22.40304946899414,-1.0712623596191406,78.42333221435547,78.43583679199219,-0.01250457763671875,0.694365918636322,0.7997589111328125,-0.10539299249649048,0,8.686395042669938,10.005898034196983,1
27,200009,gate15_nearest_200009_6b10e73879c8a606,6b10e73879c8a606,nearest,control,nominal_control,2,0.4140625,1,1,1,0.9886730282722885,1,0.9626698461053025,1,0.9942907562522884,1,0.9967435131853069,1,-10.710468292236328,-10.710945129394531,0.000476837158203125,27.39617156982422,27.276290893554688,0.11988067626953125,23.077335357666016,23.061809539794922,0.01552581787109375,81.60844421386719,81.60785675048828,0.00058746337890625,0.5311934351921082,0.5372390747070312,-0.006045639514923096,1,10.035366609919503,10.15160507839203,1
28,200009,gate15_nearest_200009_6b10e73879c8a606,6b10e73879c8a606,nearest,inside,gate15_nearest_inside,2,0.4140625,0,0,1,0.5558354426833396,1,0.5481279986885377,1,0.9881664892064816,1,0.07874189248132928,0,-10.797989845275879,-10.752311706542969,-0.045678138732910156,25.244766235351562,25.592193603515625,-0.3474273681640625,22.343294143676758,20.547584533691406,1.7957096099853516,81.50470733642578,81.6032485961914,-0.098541259765625,0.8260525465011597,0.5414657592773438,0.2845867872238159,0,9.671254496575644,10.188920829177059,1
29,200009,gate15_nearest_200009_6b10e73879c8a606,6b10e73879c8a606,nearest,outside,gate15_nearest_outside,2,0.4140625,0,0,1,0.5554233059807964,0,0.5405884100534304,0,0.9872846687221996,1,0.03649812577849827,0,-10.767677307128906,-10.754852294921875,-0.01282501220703125,25.153432846069336,24.45926284790039,0.6941699981689453,22.15504264831543,19.974132537841797,2.180910110473633,81.48636627197266,81.60091400146484,-0.1145477294921875,0.8590267300605774,0.54461669921875,0.3144100308418274,0,9.538395898839665,10.19731293172907,1
