sample_index,method,candidate_index,variant_kind,boundary_side_audit_only,prob_gate15,prob_gate20,strict_admit
200020,gate15_probability,60,nominal_control,control,0.9884956537730635,0.9569131455508949,1
200020,gate20_probability,60,nominal_control,control,0.9884956537730635,0.9569131455508949,1
200020,rank,60,nominal_control,control,0.9884956537730635,0.9569131455508949,1
200020,conservative,60,nominal_control,control,0.9884956537730635,0.9569131455508949,1
200021,gate15_probability,63,nominal_control,control,0.9885593240090711,0.9593315027436131,1
200021,gate20_probability,63,nominal_control,control,0.9885593240090711,0.9593315027436131,1
200021,rank,63,nominal_control,control,0.9885593240090711,0.9593315027436131,1
200021,conservative,63,nominal_control,control,0.9885593240090711,0.9593315027436131,1
200022,gate15_probability,66,nominal_control,control,0.9888997983655529,0.9677070406440785,1
200022,gate20_probability,66,nominal_control,control,0.9888997983655529,0.9677070406440785,1
200022,rank,66,nominal_control,control,0.9888997983655529,0.9677070406440785,1
200022,conservative,66,nominal_control,control,0.9888997983655529,0.9677070406440785,1
200023,gate15_probability,69,nominal_control,control,0.9887075615573692,0.9621906369604185,1
200023,gate20_probability,69,nominal_control,control,0.9887075615573692,0.9621906369604185,1
200023,rank,69,nominal_control,control,0.9887075615573692,0.9621906369604185,1
200023,conservative,69,nominal_control,control,0.9887075615573692,0.9621906369604185,1
