destination_port,destination_ix,destination_iy,destination_class,source_port,source_ix,source_iy,source_class,top3_occurrence_count,mean_contribution_fraction,max_contribution_fraction,manhattan_distance
33,2,1,interior,1,0,1,edge,2,0.07420639825171954,0.09504816931824034,2
231,14,7,interior,215,13,7,interior,2,0.07544973233605118,0.09491388726977137,1
42,2,10,interior,58,3,10,interior,2,0.09383977213175468,0.094409098138132,1
61,3,13,interior,61,3,13,interior,2,0.0834075244849953,0.09439366221278736,0
191,11,15,edge,191,11,15,edge,2,0.08504446035239066,0.09344648903481259,0
9,0,9,edge,25,1,9,interior,2,0.09065985524526543,0.09143781862636136,1
215,13,7,interior,247,15,7,edge,2,0.0771576983583718,0.08911418054719006,2
225,14,1,interior,193,12,1,interior,2,0.08542345594867892,0.08900853580795236,2
57,3,9,interior,41,2,9,interior,2,0.07936324882728571,0.08793108940641686,1
169,10,9,interior,185,11,9,interior,2,0.08781420527173711,0.08783500160303377,1
46,2,14,interior,30,1,14,interior,2,0.08741979974314548,0.08749587958092832,1
137,8,9,interior,121,7,9,interior,2,0.08745823076246187,0.08746056761400094,1
71,4,7,interior,39,2,7,interior,2,0.06757913361386568,0.08732454406914493,2
34,2,2,interior,2,0,2,edge,2,0.07993450414392922,0.0866488124831922,2
26,1,10,interior,26,1,10,interior,2,0.06659397067562184,0.08649375166174529,0
156,9,12,interior,140,8,12,interior,2,0.08552985892839474,0.08610257064305735,1
217,13,9,interior,249,15,9,edge,2,0.08277188778361183,0.08523905790819117,2
105,6,9,interior,121,7,9,interior,2,0.07912139911624452,0.08446234680668299,1
141,8,13,interior,141,8,13,interior,2,0.0835662773766046,0.0843232395524718,0
141,8,13,interior,157,9,13,interior,2,0.08284641763156039,0.08392456786320276,1
187,11,11,interior,203,12,11,interior,2,0.0836847823884713,0.08369531367837289,1
1,0,1,edge,33,2,1,interior,2,0.08212254170834732,0.08240901591004442,2
60,3,12,interior,60,3,12,interior,2,0.06304386466677969,0.08154651822709605,0
10,0,10,edge,42,2,10,interior,2,0.07994165550798385,0.0799766662151896,2
80,5,0,edge,80,5,0,edge,2,0.0796236345977687,0.07969202635799998,0
205,12,13,interior,221,13,13,interior,2,0.0792588519898676,0.07938214483343452,1
136,8,8,interior,152,9,8,interior,2,0.06901092457921622,0.07935231668376556,1
165,10,5,interior,149,9,5,interior,2,0.0779021851791957,0.07801378566093367,1
122,7,10,interior,138,8,10,interior,2,0.0728399191089598,0.07765823681090238,1
41,2,9,interior,9,0,9,edge,2,0.07644443743042251,0.07669009478480278,2
187,11,11,interior,219,13,11,interior,2,0.06466749757606159,0.07656505922553643,2
201,12,9,interior,169,10,9,interior,2,0.06695954605601631,0.07597741587882934,2
114,7,2,interior,98,6,2,interior,2,0.07051700652253512,0.07583169629454391,1
244,15,4,edge,212,13,4,interior,2,0.06557387658342348,0.0755879985815148,2
236,14,12,interior,220,13,12,interior,2,0.07456272097953773,0.07480687650669662,1
