port_index,ix,iy,port_class,observed_case_count,active_rl_fail10_count,active_rl_fail11_count,fail10_rate_when_observed,fail11_rate_when_observed,worst_gamma,worst_active_rl_db
184,11,8,interior,335,0,11,0.0,0.03283582089552239,0.31509350413130294,10.031211000246428
211,13,3,interior,345,0,11,0.0,0.03188405797101449,0.31242256267221935,10.105152191784331
121,7,9,interior,355,0,11,0.0,0.030985915492957747,0.3048173357467132,10.319206743693263
205,12,13,interior,300,0,11,0.0,0.03666666666666667,0.30354314405146454,10.355591436630556
40,2,8,interior,340,0,11,0.0,0.03235294117647059,0.30157907831955544,10.411975808136313
2,0,2,edge,415,2,10,0.004819277108433735,0.024096385542168676,0.3612083626853296,8.844844069382722
90,5,10,interior,335,4,10,0.011940298507462687,0.029850746268656716,0.3507188461394533,9.10081792705439
161,10,1,interior,300,3,10,0.01,0.03333333333333333,0.33722144366363965,9.441696334048807
11,0,11,edge,420,2,10,0.004761904761904762,0.023809523809523808,0.33249162544925864,9.564385778163594
7,0,7,edge,500,2,10,0.004,0.02,0.32686427210270486,9.712650947623331
131,8,3,interior,430,3,10,0.0069767441860465115,0.023255813953488372,0.3243536948165783,9.77962301036727
53,3,5,interior,320,2,10,0.00625,0.03125,0.3233418596714412,9.80676136415484
253,15,13,edge,430,2,10,0.004651162790697674,0.023255813953488372,0.3197168354637608,9.90468988598291
198,12,6,interior,295,1,10,0.003389830508474576,0.03389830508474576,0.31845654581440647,9.93899639690354
244,15,4,edge,495,1,10,0.00202020202020202,0.020202020202020204,0.3176694847253557,9.960490028410991
195,12,3,interior,460,1,10,0.002173913043478261,0.021739130434782608,0.3166151077221911,9.989367320500364
178,11,2,interior,340,0,10,0.0,0.029411764705882353,0.3114799521830286,10.131398012935565
33,2,1,interior,335,0,10,0.0,0.029850746268656716,0.31089321362361727,10.14777515823443
124,7,12,interior,430,0,10,0.0,0.023255813953488372,0.3046653506128794,10.323538699812822
250,15,10,edge,395,0,10,0.0,0.02531645569620253,0.3036086278363616,10.353717819662807
174,10,14,interior,370,0,10,0.0,0.02702702702702703,0.29818057985268126,10.510412900924237
41,2,9,interior,295,3,9,0.010169491525423728,0.030508474576271188,0.36822781027491763,8.677668293129065
68,4,4,interior,380,2,9,0.005263157894736842,0.02368421052631579,0.34721947924657354,9.187918371984887
196,12,4,interior,325,2,9,0.006153846153846154,0.027692307692307693,0.338460022536271,9.409852419471573
45,2,13,interior,375,1,9,0.0026666666666666666,0.024,0.3328627611697692,9.554695771429538
155,9,11,interior,455,2,9,0.004395604395604396,0.01978021978021978,0.325796626934227,9.741068327587362
173,10,13,interior,270,1,9,0.003703703703703704,0.03333333333333333,0.3209029209943551,9.872526595082345
51,3,3,interior,396,0,9,0.0,0.022727272727272728,0.3119939212084408,10.117077351127872
169,10,9,interior,335,0,9,0.0,0.026865671641791045,0.3085317049883049,10.214004017122235
217,13,9,interior,470,0,9,0.0,0.019148936170212766,0.3083189362738704,10.219996020766818
67,4,3,interior,375,0,9,0.0,0.024,0.29964535379366125,10.467849038970716
230,14,6,interior,220,0,9,0.0,0.04090909090909091,0.2976583133520392,10.525639669098384
50,3,2,interior,295,0,9,0.0,0.030508474576271188,0.2972409612619831,10.537826857564925
243,15,3,edge,390,0,9,0.0,0.023076923076923078,0.2963268161282123,10.564580904281172
156,9,12,interior,370,2,8,0.005405405405405406,0.021621621621621623,0.3446916634748566,9.251384401504493
246,15,6,edge,360,2,8,0.005555555555555556,0.022222222222222223,0.34465500968033086,9.252308090054145
79,4,15,edge,350,2,8,0.005714285714285714,0.022857142857142857,0.34039353897321234,9.360373837489973
54,3,6,interior,450,2,8,0.0044444444444444444,0.017777777777777778,0.3392448445036953,9.389734871631836
175,10,15,edge,205,1,8,0.004878048780487805,0.03902439024390244,0.3331992502804206,9.545919689089072
12,0,12,edge,495,2,8,0.00404040404040404,0.01616161616161616,0.33169824545141213,9.585136514306479
18,1,2,interior,230,1,8,0.004347826086956522,0.034782608695652174,0.3191306447523982,9.920629807207852
242,15,2,edge,395,1,8,0.002531645569620253,0.020253164556962026,0.317870260498014,9.955002043514913
157,9,13,interior,340,1,8,0.0029411764705882353,0.023529411764705882,0.31630919059652945,9.99776378309745
98,6,2,interior,255,0,8,0.0,0.03137254901960784,0.3162069373066751,10.000572125080716
126,7,14,interior,300,0,8,0.0,0.02666666666666667,0.31322245179801267,10.082942305046101
206,12,14,interior,230,0,8,0.0,0.034782608695652174,0.30949911077691183,10.186811888304415
158,9,14,interior,415,0,8,0.0,0.01927710843373494,0.3079603954827136,10.230102626436093
197,12,5,interior,310,0,8,0.0,0.025806451612903226,0.3071799994582847,10.252141294143417
