stimulus_index,stimulus_family,sample_index,k_value,ratio,window_role,source_type,task_index,worst_port,active_rl_db,worst_gamma_magnitude,source_port_magnitude,reflected_port_magnitude,required_b_reduction_for_10db,required_b_reduction_for_11db,stop_line_pass,design_line_pass
1456,k6_supported_scene,421038,6,0.5,edge,task,4,P10,1.3598940636632229,0.8550771416595618,0.31739486505091996,0.27139709398516293,0.17102802486489477,0.18194306697211318,False,False
982,k6_supported_scene,421031,6,0.5,corner,task,0,P11,1.4163585699397354,0.849536555957653,0.36484963109980123,0.3099530990469453,0.1945775152721877,0.20712450176996405,False,False
610,k6_supported_scene,421025,6,0.5,corner,task,2,P00,1.4452076328990258,0.8467196104291925,0.21971168063250132,0.18603418863189466,0.11655525469767382,0.12411102358248781,False,False
1234,k6_supported_scene,421035,6,0.5,corner,task,0,P01,1.6405834805253048,0.8278865480041901,0.3311736203812148,0.274174185367454,0.16944789123059412,0.1808367774707071,False,False
991,k6_supported_scene,421031,6,0.5,corner,task,3,P11,1.7755035016160408,0.8151261481041913,0.3137107495221047,0.255713834876832,0.15650978537998905,0.1672981326961042,False,False
1369,k6_supported_scene,421037,6,0.5,corner,task,3,P10,2.1220880360537486,0.7832413335887096,0.30727442290752316,0.24067002877578966,0.14350132446563052,0.15406832990211983,False,False
1471,k6_supported_scene,421038,6,0.5,interior,task,2,P10,2.1294028043052124,0.7825820094044823,0.26247148517733754,0.20540546228145964,0.1224046908807086,0.13143094690471574,False,False
1240,k6_supported_scene,421035,6,0.5,corner,task,2,P00,2.266914510231423,0.7702900259934573,0.17420742968050293,0.13419024553684797,0.07910101922544714,0.08509192090574977,False,False
1342,k6_supported_scene,421036,6,0.5,interior,task,1,P10,2.4944363965113943,0.7503746955794404,0.2973731897714277,0.22314131674822218,0.12910365727350243,0.13933016452147648,False,False
757,k6_supported_scene,421027,6,0.699999988079071,edge,task,2,P01,2.5403193266492448,0.7464213165924394,0.3987182159993255,0.2976117757356052,0.17152600501991946,0.18523771429993396,False,False
304,k6_supported_scene,421020,6,0.5,corner,task,5,P10,2.5890537227771118,0.7422450566217396,0.19621048777136624,0.1456362646056369,0.08358906038862365,0.09033663563864774,False,False
1327,k6_supported_scene,421036,6,0.5,edge,task,3,P11,2.62492376906121,0.7391861339284298,0.2845983125881349,0.21037112640457817,0.12037323780267055,0.13016042375807169,False,False
748,k6_supported_scene,421027,6,0.699999988079071,edge,combined,-1,P00,2.634290727602952,0.7383894171748867,0.18832729599757392,0.13905888232977096,0.07950456223646638,0.08598103867669588,False,False
403,k6_supported_scene,421021,6,0.5,interior,task,3,P10,2.646633148891384,0.7373409302984217,0.3184208566223573,0.23478473064834926,0.13409121450549336,0.1450415399220435,False,False
973,k6_supported_scene,421030,6,0.5,interior,task,4,P00,2.679823588457571,0.734528786380312,0.341021691569884,0.2504902492381879,0.14264972154976036,0.1543772777670387,False,False
1438,k6_supported_scene,421038,6,0.5,corner,task,5,P10,2.703974655101038,0.7324892700211689,0.39153455837346,0.2867948628510365,0.162980764138208,0.17644543121904394,False,False
454,k6_supported_scene,421022,6,0.5,interior,combined,-1,P10,2.7079082547351114,0.7321576209549251,0.4147128459039589,0.303635170636489,0.1724914538377949,0.18675321000930664,False,False
1015,k6_supported_scene,421031,6,0.5,edge,task,4,P00,2.7145490375478705,0.7315980649662646,0.29228174862901446,0.2138327617219431,0.12140515730549487,0.1314565725763289,False,False
1504,k6_supported_scene,421039,6,0.5,edge,combined,-1,P10,2.783422265254597,0.7258199259722992,0.30091088410485917,0.218407115625248,0.12325073897461676,0.13359890566596488,False,False
1336,k6_supported_scene,421036,6,0.5,interior,combined,-1,P10,2.8319421212148574,0.7217767592419868,0.3611857997088854,0.26069551599810464,0.14647853743915873,0.1588995267066422,False,False
859,k6_supported_scene,421029,6,0.5,corner,task,1,P10,2.846156052209747,0.7205965813091236,0.3147195583298513,0.22678583780360814,0.12726277495115335,0.1380858146704141,False,False
640,k6_supported_scene,421025,6,0.5,edge,task,5,P00,2.849468034981291,0.7203218658100156,0.3374347388744354,0.24306162069514875,0.13635538704441097,0.14795958984921007,False,False
1258,k6_supported_scene,421035,6,0.5,edge,task,1,P10,2.8840309391915837,0.7174612552802443,0.2967391934897056,0.21289887425197151,0.11906170200508369,0.1292664064551149,False,False
1522,k6_supported_scene,421039,6,0.5,edge,task,5,P00,2.9844377336999943,0.7092153280717373,0.18369049824857087,0.13027611697902108,0.07218808107935563,0.07850510048909756,False,False
