stimulus_index,stimulus_family,sample_index,k_value,ratio,window_role,source_type,task_index,worst_port,active_rl_db,worst_gamma_magnitude,source_port_magnitude,reflected_port_magnitude,required_b_reduction_for_10db,required_b_reduction_for_11db,stop_line_pass,design_line_pass,s_column_port,coupling_relation,d_active_rl_db_d_re_s,d_active_rl_db_d_im_s,jacobian_magnitude
8,old_285_replay,426105,2,0.800000011920929,corner,task,1,P10,5.11690964331876,0.5548230786045053,0.48363866591364313,0.2683338935543833,0.1153939186731481,0.13202599746333096,False,False,P01,diagonal,-0.0,0.0,0.0
8,old_285_replay,426105,2,0.800000011920929,corner,task,1,P10,5.11690964331876,0.5548230786045053,0.48363866591364313,0.2683338935543833,0.1153939186731481,0.13202599746333096,False,False,P11,y_neighbor,18.03415250589678,13.957743212075991,22.80458840190273
21,old_285_replay,426109,2,0.6000000238418579,corner,combined,-1,P11,8.24583207178046,0.38699771111913134,0.5519251685380347,0.2135937769332603,0.0390597138780108,0.058040129498974885,False,False,P00,diagonal,0.0,-0.0,0.0
21,old_285_replay,426109,2,0.6000000238418579,corner,combined,-1,P11,8.24583207178046,0.38699771111913134,0.5519251685380347,0.2135937769332603,0.0390597138780108,0.058040129498974885,False,False,P10,y_neighbor,27.677648296144334,19.59289089352812,33.91067072133429
21,old_285_replay,426109,2,0.6000000238418579,corner,combined,-1,P11,8.24583207178046,0.38699771111913134,0.5519251685380347,0.2135937769332603,0.0390597138780108,0.058040129498974885,False,False,P01,x_neighbor,0.0,-0.0,0.0
21,old_285_replay,426109,2,0.6000000238418579,corner,combined,-1,P11,8.24583207178046,0.38699771111913134,0.5519251685380347,0.2135937769332603,0.0390597138780108,0.058040129498974885,False,False,P11,self,-7.662090419068689,21.09593834203157,22.44429201647452
23,old_285_replay,426109,2,0.6000000238418579,corner,task,1,P11,8.950382195201502,0.3568460470522558,0.6878155591508912,0.24544426338403258,0.027937885682123992,0.05159150020713377,False,False,P00,diagonal,0.0,-0.0,0.0
23,old_285_replay,426109,2,0.6000000238418579,corner,task,1,P11,8.950382195201502,0.3568460470522558,0.6878155591508912,0.24544426338403258,0.027937885682123992,0.05159150020713377,False,False,P10,y_neighbor,18.697139023105166,17.61499324842915,25.68795427416373
23,old_285_replay,426109,2,0.6000000238418579,corner,task,1,P11,8.950382195201502,0.3568460470522558,0.6878155591508912,0.24544426338403258,0.027937885682123992,0.05159150020713377,False,False,P01,x_neighbor,0.0,-0.0,0.0
23,old_285_replay,426109,2,0.6000000238418579,corner,task,1,P11,8.950382195201502,0.3568460470522558,0.6878155591508912,0.24544426338403258,0.027937885682123992,0.05159150020713377,False,False,P11,self,6.836373931008914,23.360963832413024,24.34071978606811
40,old_285_replay,426110,4,0.699999988079071,corner,combined,-1,P10,4.558869587781168,0.5916386270965512,0.43408529019971104,0.2568216251365651,0.11955180355593967,0.13447976787538082,False,False,P00,x_neighbor,-11.719517026897947,14.962382412203318,19.005787718291554
40,old_285_replay,426110,4,0.699999988079071,corner,combined,-1,P10,4.558869587781168,0.5916386270965512,0.43408529019971104,0.2568216251365651,0.11955180355593967,0.13447976787538082,False,False,P10,self,-9.230113994274394,11.41660581669193,14.681072601176798
40,old_285_replay,426110,4,0.699999988079071,corner,combined,-1,P10,4.558869587781168,0.5916386270965512,0.43408529019971104,0.2568216251365651,0.11955180355593967,0.13447976787538082,False,False,P01,diagonal,-0.0,-0.0,0.0
40,old_285_replay,426110,4,0.699999988079071,corner,combined,-1,P10,4.558869587781168,0.5916386270965512,0.43408529019971104,0.2568216251365651,0.11955180355593967,0.13447976787538082,False,False,P11,y_neighbor,14.772209587773617,18.67801834373529,23.813579011858394
