candidate_index,sample_index,scene_id,target_hash,boundary_type,boundary_side,variant_kind,parent_candidate_index,k,active_ratio,active_count,implementation_delta_norm,implementation_delta_max,task_mixing_amplitude,coherent_mode_amplitude,boundary_metric_code,nominal_eep_gate15,actual_basis_gate15,actual_basis_gate20,actual_basis_mainlobe_gate,predicted_hard_negative,nominal_psll_db,actual_basis_psll_db,nominal_nearest_iso_db,actual_basis_nearest_iso_db,nominal_local_iso_db,actual_basis_local_iso_db,actual_basis_pointing_error_deg,combined_worst_active_rl_db,combined_total_rl_db,task_significant_worst_active_rl_db,robust_active_gate,expected_hfss_case_count
13,200004,gate15_psll_200004_1c12768767174523,1c12768767174523,psll,inside,gate15_psll_inside,11,6,0.72265625,185,0.12114731222391129,0.09656549245119095,0.0,0.31697826734088624,1,1,1,1,1,0,-6.885292053222656,-0.43505859375,29.57398223876953,29.573974609375,23.931095123291016,23.4615478515625,1.446279065449388,-7.385131506848564,12.545507979610084,7.783916751064104,0,7
14,200004,gate15_psll_200004_1c12768767174523,1c12768767174523,psll,outside,gate15_psll_outside,11,6,0.72265625,185,0.1287190169095993,0.10260084271430969,0.0,0.3367894090496916,1,1,0,0,1,1,-6.885292053222656,0.01770782470703125,29.57398223876953,29.573974609375,23.931095123291016,23.432994842529297,1.446279065449388,-6.300449333539375,12.506896216938188,7.630986766659754,0,7
15,200005,gate15_psll_200005_f1d3431529f7334f,f1d3431529f7334f,psll,control,nominal_control,11,6,0.72265625,185,0.0,0.0,0.0,0.0,0,1,1,1,1,0,-7.3638458251953125,-7.3638458251953125,28.23455047607422,28.23455047607422,23.291061401367188,23.291061401367188,0.9999999999999002,10.045337474642068,12.60314736557679,10.011625416758214,1,7
16,200005,gate15_psll_200005_f1d3431529f7334f,f1d3431529f7334f,psll,inside,gate15_psll_inside,11,6,0.72265625,185,0.12005231529474258,0.09588824957609177,0.0,0.309883129902322,1,1,1,1,1,0,-7.3638458251953125,-0.44887542724609375,28.23455047607422,28.23455047607422,23.291061401367188,23.123275756835938,1.3382746532252205,-14.451000341791698,12.477842301994515,6.695667874144484,0,7
17,200005,gate15_psll_200005_f1d3431529f7334f,f1d3431529f7334f,psll,outside,gate15_psll_outside,11,6,0.72265625,185,0.13505886495113373,0.1078743040561676,0.0,0.3486185211401122,1,1,0,0,1,1,-7.3638458251953125,0.44446563720703125,28.23455047607422,28.234546661376953,23.291061401367188,22.919921875,1.3382746532252205,-3.661985375202117,12.411897635603118,6.173728733551869,0,7
18,200006,gate15_psll_200006_e972fa4c2d91862d,e972fa4c2d91862d,psll,control,nominal_control,6,6,0.5234375,134,0.0,0.0,0.0,0.0,0,1,1,1,1,0,-4.998291015625,-4.998291015625,26.088802337646484,26.088802337646484,22.467422485351562,22.467422485351562,0.9999999999999002,10.08035455441214,10.663721924543538,10.031744347363041,1,7
19,200006,gate15_psll_200006_e972fa4c2d91862d,e972fa4c2d91862d,psll,inside,gate15_psll_inside,6,6,0.5234375,134,0.11541573703289032,0.1110813245177269,0.0,0.3554922669789427,1,1,1,1,1,0,-4.998291015625,-0.32448577880859375,26.088802337646484,26.088809967041016,22.467422485351562,21.98229217529297,1.0000086922976466,-4.737001225400689,10.210393515035335,7.61990292738653,0,7
20,200006,gate15_psll_200006_e972fa4c2d91862d,e972fa4c2d91862d,psll,outside,gate15_psll_outside,6,6,0.5234375,134,0.128239706158638,0.12342369556427002,0.0,0.3949914077543808,1,1,0,0,1,1,-4.998291015625,0.42156219482421875,26.088802337646484,26.08880615234375,22.467422485351562,21.912330627441406,1.0000086922976466,-10.82800053142947,10.143050012463819,7.249587818344798,0,7
21,200007,gate15_psll_200007_a5c2ab4ab589d080,a5c2ab4ab589d080,psll,control,nominal_control,11,6,0.72265625,185,0.0,0.0,0.0,0.0,0,1,1,1,1,0,-7.324470520019531,-7.324470520019531,28.178375244140625,28.178375244140625,23.55282211303711,23.55282211303711,1.0000000000002647,10.187081750180171,12.625289375448228,10.025403170712844,1,7
22,200007,gate15_psll_200007_a5c2ab4ab589d080,a5c2ab4ab589d080,psll,inside,gate15_psll_inside,11,6,0.72265625,185,0.11697199195623398,0.09279503673315048,0.0,0.3079881148681263,1,1,1,1,1,0,-7.324470520019531,-0.271148681640625,28.178375244140625,28.178359985351562,23.55282211303711,22.737590789794922,1.33821080862029,-5.908521294849523,12.500355437053091,7.81265469890628,0,7
23,200007,gate15_psll_200007_a5c2ab4ab589d080,a5c2ab4ab589d080,psll,outside,gate15_psll_outside,11,6,0.72265625,185,0.12428274750709534,0.09859474003314972,0.0,0.3272373720473842,1,1,0,0,1,1,-7.324470520019531,0.18306732177734375,28.178375244140625,28.178375244140625,23.55282211303711,22.572708129882812,1.33821080862029,-6.853159155079677,12.46870421677674,7.652005776363046,0,7
24,200008,gate15_psll_200008_319a15f32a015db9,319a15f32a015db9,psll,control,nominal_control,11,6,0.72265625,185,0.0,0.0,0.0,0.0,0,1,1,1,1,0,-7.343269348144531,-7.343269348144531,28.565444946289062,28.565444946289062,23.253631591796875,23.253631591796875,1.3382236885273253,10.057782197101364,12.542619134251643,10.05055202164862,1,7
