trial,active_rl_min_db,total_rl_min_db,passive_rl_min_db,integrated_vs_target_max_abs_delta_s,joint_gate_pass
166,12.499607712704385,13.038447891996771,14.703054151855676,0.038990272408613864,1
167,12.47275492190014,13.060572287281346,14.874122654466174,0.04185412383196791,1
168,12.492839366919808,13.04933375927185,14.726413727616887,0.038550115698684315,1
169,12.513187996914588,13.050817052169055,14.706096158603618,0.03941689378430554,1
170,12.419614842497966,13.01561530129739,14.875222286413807,0.038998777760447606,1
171,12.554312726182502,13.074065462021183,14.71843271440755,0.03970471216816541,1
172,12.480797573904665,13.034002780906011,14.709439885624278,0.03931522515094419,1
173,12.493551050057699,13.051475522371787,14.853734881904474,0.03838501222598186,1
174,12.515218967248758,13.090712680278134,14.747069226355045,0.040294283671638564,1
175,12.480308222901852,13.020103385079887,14.788605183188126,0.038304099929757376,1
176,12.48808491128819,13.037911459237064,14.734509543339831,0.03903999716846706,1
177,12.507854770992509,13.023211704225044,14.806733403809655,0.03837457276203211,1
178,12.508982360385444,13.044832018795917,14.79480614926623,0.03973865282511114,1
179,12.57182754087604,13.085809174186888,14.863221121003567,0.04009495392610854,1
180,12.47519839068957,13.107116622317005,14.84930942774737,0.0388029849876369,1
181,12.48935655452281,13.035326438270731,14.804002773111556,0.04040235025062961,1
182,12.466733060320053,13.071023462860365,14.772126964003654,0.038693942939266625,1
183,12.497196895646388,13.051903901106709,14.877086516358107,0.03984359655158708,1
184,12.474878542653268,13.079094475703194,14.796065618094653,0.04015285822754246,1
185,12.488508975222546,13.069313594148904,14.814021864989812,0.039632496699263345,1
186,12.590496668924043,13.10593491941967,14.78710707227567,0.038145154806142584,1
187,12.538429076978353,13.02305611781932,14.750011474015775,0.041312876710901066,1
188,12.43063685190351,12.982925613011915,14.67311531344368,0.04039609201474326,1
189,12.446825697297877,13.054232260684575,14.791877868070987,0.03743600139336231,1
190,12.436435923606526,13.021972595928336,14.871221813754719,0.041900713960245604,1
191,12.557135994557987,13.091382368681789,14.90872271542136,0.03963198900480064,1
192,12.444740639039447,13.072550278312416,14.757502433790172,0.038445781682399205,1
193,12.43162538138476,13.038967421032297,14.733825156905905,0.03966867244594802,1
194,12.539672706322971,13.017308539639071,14.75050274212894,0.04025370903750589,1
195,12.511743284883035,13.06807927482061,14.819808618004997,0.03867039897155798,1
196,12.594732155009435,13.065897394715783,14.792930853768102,0.04061263251346486,1
197,12.544491433370775,13.071263202252625,14.768467027314976,0.03875208834998452,1
198,12.510278423424896,13.050325847816257,14.754383999847311,0.03989611724532159,1
199,12.485490920646878,13.076984144950286,14.799913125729972,0.04067861186635247,1
200,12.483746716937855,13.061758769817517,14.794032059354247,0.03915564252771474,1
201,12.384914249783737,13.119498992008978,14.740378862179433,0.03906689061011471,1
202,12.465265956751601,13.057420033983435,14.862795683788798,0.0383453831009452,1
203,12.596913403667312,13.029483098593948,14.752361425855687,0.03871424539043779,1
204,12.485426678883764,13.072944057355633,14.754617014231581,0.039483921523564294,1
205,12.41299909894773,13.060263077672715,14.67637028136487,0.04193864417812598,1
206,12.468663202591877,13.079052368579383,14.765178918392861,0.03973485505321201,1
207,12.593114810145805,13.061229519543591,14.710929059500588,0.03955476919424375,1
208,12.431560480038462,13.034462784227305,14.653999630679099,0.0405041642878829,1
209,12.50973044039976,13.042827056586653,14.897416218122776,0.03838107999168101,1
210,12.545015657344376,13.072600760878807,14.809120972323427,0.03905680477231391,1
211,12.616410977474391,13.116432964499069,14.843642112834948,0.04219221444626366,1
